ID,name,country_code
Customers-7339644,name-7339644,047
Customers-1001,Acme Corporation,001
Customers-1002,Global Tech Solutions,002
Customers-1003,Digital Innovations Inc,003
Customers-1004,CloudNet Systems,004
Customers-1005,DataStream Analytics,005
Customers-1006,SecureVault Ltd,006
Customers-1007,TechPulse Enterprises,007
Customers-1008,NetCore Industries,008
Customers-1009,SmartEdge Services,009
Customers-1010,VisionAI Technologies,010
Customers-1011,PureCloud Platform,011
Customers-1012,FlexiWork Solutions,012
Customers-1013,QuantumLeap Corp,013
Customers-1014,FutureBridge Systems,014
Customers-1015,EchoSync Networks,015
Customers-1016,PrecisionLogics,016
Customers-1017,VelocityTrade Markets,017
Customers-1018,OmniConnect Hub,018
Customers-1019,HarmonicFlow Software,019
Customers-1020,ApexScale Partners,020