ID,orderDate,customer_ID,salesRep_ID
SalesOrders-31081613,2008-11-07,Customers-7339644,SalesReps-5892489
SalesOrders-1001,2024-01-15,Customers-1001,SalesReps-1001
SalesOrders-1002,2024-01-16,Customers-1002,SalesReps-1002
SalesOrders-1003,2024-01-17,Customers-1003,SalesReps-1003
SalesOrders-1004,2024-01-18,Customers-1004,SalesReps-1004
SalesOrders-1005,2024-01-19,Customers-1005,SalesReps-1005
SalesOrders-1006,2024-01-20,Customers-1006,SalesReps-1006
SalesOrders-1007,2024-01-21,Customers-1007,SalesReps-1007
SalesOrders-1008,2024-01-22,Customers-1008,SalesReps-1008
SalesOrders-1009,2024-01-23,Customers-1009,SalesReps-1009
SalesOrders-1010,2024-01-24,Customers-1010,SalesReps-1010
SalesOrders-1011,2024-01-25,Customers-1011,SalesReps-1011
SalesOrders-1012,2024-01-26,Customers-1012,SalesReps-1012
SalesOrders-1013,2024-01-27,Customers-1013,SalesReps-1013
SalesOrders-1014,2024-01-28,Customers-1014,SalesReps-1014
SalesOrders-1015,2024-01-29,Customers-1015,SalesReps-1015
SalesOrders-1016,2024-01-30,Customers-1016,SalesReps-1016
SalesOrders-1017,2024-02-01,Customers-1017,SalesReps-1017
SalesOrders-1018,2024-02-02,Customers-1018,SalesReps-1018
SalesOrders-1019,2024-02-03,Customers-1019,SalesReps-1019
SalesOrders-1020,2024-02-04,Customers-1020,SalesReps-1020